anchor_label,dictionary_status,candidate_count
1842,DIRECT_HEADWORD,4
1842,NO_STANDALONE_HEADWORD,26
1938,DIRECT_HEADWORD,2
1938,NO_STANDALONE_HEADWORD,22
1938,TECHNICAL_GLOSSARY,6
1988,DIRECT_HEADWORD,1
1988,NO_STANDALONE_HEADWORD,21
1988,TECHNICAL_GLOSSARY,8
2006–2007,DIRECT_HEADWORD,4
2006–2007,NO_STANDALONE_HEADWORD,15
2006–2007,TECHNICAL_GLOSSARY,11
2015,NO_STANDALONE_HEADWORD,13
2015,TECHNICAL_GLOSSARY,17
2022,DIRECT_HEADWORD,14
2022,NO_STANDALONE_HEADWORD,9
2022,TECHNICAL_GLOSSARY,7
