family,1842,1938,1988,2006–2007,2015,2022
temperature_threshold,12,7,2,2,3,0
heat,8,8,3,0,0,2
warming,0,1,4,3,0,1
climate,4,6,4,5,4,1
carbon_greenhouse,0,3,3,2,1,0
concern_alarm,1,2,1,0,2,1
worry,0,0,0,3,2,2
fear_afraid,0,0,0,0,0,1
anxiety,0,0,0,0,0,5
distress_depression,1,0,0,0,0,11
danger_threat,0,1,3,5,0,1
risk,0,0,1,0,3,0
crisis_emergency,0,0,1,0,1,1
harm_loss_consequences,4,2,8,10,14,4
