surface_form,first_nonzero_year,note
climatic change,1844,"Corpus-observed presence, not historical coinage."
greenhouse effect,1843,"Corpus-observed presence, not historical coinage."
global warming,1843,"Corpus-observed presence, not historical coinage."
climate change,1842,"Corpus-observed presence, not historical coinage."
climate crisis,1867,"Corpus-observed presence, not historical coinage."
climate emergency,1846,"Corpus-observed presence, not historical coinage."
climate anxiety,1972,"Corpus-observed presence, not historical coinage."
eco-anxiety,1901,"Corpus-observed presence, not historical coinage."
