query_id,surface_form,year,raw_normalized_frequency,smoothed_radius_3_frequency,raw_scale,display_scale
FT-Q-V01-128,worry,1842,4.805623241566082e-07,6.198782294131178e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1843,7.335825773502336e-07,6.179541184536674e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1844,6.412441009295833e-07,6.082683392527599e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1845,6.24123915216046e-07,5.967794743457131e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1846,6.102576746158661e-07,6.172316783395868e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1847,5.598394432482223e-07,6.136791697665598e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1848,5.278462849034327e-07,6.035833344876705e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1849,6.23727752113723e-07,6.056487426496306e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1850,7.087150173390455e-07,6.129051339469933e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1851,5.705732539773578e-07,6.333725816202016e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1852,6.385817723497667e-07,6.651160723768003e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1853,6.61052413697405e-07,6.849025106424124e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1854,7.031115769606799e-07,7.144732334017436e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1855,7.500507201996243e-07,7.475020054365749e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1856,7.622328199730077e-07,8.239119512357515e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1857,9.157100766543635e-07,8.837638301173456e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1858,8.017746582211771e-07,9.374617308464752e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1859,1.173451392944003e-06,9.991781492984281e-07,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1860,1.080015565868564e-06,1.053822199027974e-06,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1861,1.078996882064587e-06,1.090954049511237e-06,normalized share,"normalized share × 1,000,000"
FT-Q-V01-128,worry,1862,1.182065649363295e-06,1.163072638136039e-06,normalized share,"normalized share × 1,000,000"
