anchor,V1_count,V1_percentage,V2_count,V2_percentage,V3_count,V3_percentage,V4_count,V4_percentage,V5_count,V5_percentage,total
1842,18,0.6,2,0.06666666666666667,1,0.03333333333333333,0,0.0,9,0.3,30
1938,18,0.6,0,0.0,12,0.4,0,0.0,0,0.0,30
1988,14,0.4666666666666667,13,0.43333333333333335,3,0.1,0,0.0,0,0.0,30
2006–2007,9,0.3,10,0.3333333333333333,2,0.06666666666666667,2,0.06666666666666667,7,0.23333333333333334,30
2015,0,0.0,24,0.8,0,0.0,1,0.03333333333333333,5,0.16666666666666666,30
2022,12,0.4,0,0.0,0,0.0,1,0.03333333333333333,17,0.5666666666666667,30
