anchor,dimension,status,candidate_count,percentage_within_anchor,interpretation_note
1842,VOICE_COVERAGE,V1,18,0.6,Coverage/composition diagnostic; not historical prevalence.
1842,VOICE_COVERAGE,V2,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
1842,VOICE_COVERAGE,V3,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1842,VOICE_COVERAGE,V5,9,0.3,Coverage/composition diagnostic; not historical prevalence.
1842,EXPRESSION_MODE_COMPLETENESS,E3,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1842,EXPRESSION_MODE_COMPLETENESS,E5,29,0.9666666666666667,Coverage/composition diagnostic; not historical prevalence.
1842,DICTIONARY_STATUS,DIRECT_HEADWORD,4,0.13333333333333333,Coverage/composition diagnostic; not historical prevalence.
1842,DICTIONARY_STATUS,NO_STANDALONE_HEADWORD,26,0.8666666666666667,Coverage/composition diagnostic; not historical prevalence.
1842,NGRAM_STATUS,SUCCEEDED_NEW,7,0.23333333333333334,Coverage/composition diagnostic; not historical prevalence.
1842,NGRAM_STATUS,SUCCEEDED_REUSED_BASELINE,19,0.6333333333333333,Coverage/composition diagnostic; not historical prevalence.
1842,NGRAM_STATUS,ZERO_RESULT,4,0.13333333333333333,Coverage/composition diagnostic; not historical prevalence.
1842,BOUNDED_SEARCH_STATUS,COMPLETED_NONZERO,21,0.7,Coverage/composition diagnostic; not historical prevalence.
1842,BOUNDED_SEARCH_STATUS,ZERO_RESULT,9,0.3,Coverage/composition diagnostic; not historical prevalence.
1842,PROVENANCE_COMPLETENESS,RECONSTRUCTED_FROM_REPORT,30,1.0,Coverage/composition diagnostic; not historical prevalence.
1938,VOICE_COVERAGE,V1,18,0.6,Coverage/composition diagnostic; not historical prevalence.
1938,VOICE_COVERAGE,V3,12,0.4,Coverage/composition diagnostic; not historical prevalence.
1938,EXPRESSION_MODE_COMPLETENESS,E2,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1938,EXPRESSION_MODE_COMPLETENESS,E5,29,0.9666666666666667,Coverage/composition diagnostic; not historical prevalence.
1938,DICTIONARY_STATUS,DIRECT_HEADWORD,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
1938,DICTIONARY_STATUS,NO_STANDALONE_HEADWORD,22,0.7333333333333333,Coverage/composition diagnostic; not historical prevalence.
1938,DICTIONARY_STATUS,TECHNICAL_GLOSSARY,6,0.2,Coverage/composition diagnostic; not historical prevalence.
1938,NGRAM_STATUS,SUCCEEDED_NEW,5,0.16666666666666666,Coverage/composition diagnostic; not historical prevalence.
1938,NGRAM_STATUS,SUCCEEDED_REUSED_BASELINE,19,0.6333333333333333,Coverage/composition diagnostic; not historical prevalence.
1938,NGRAM_STATUS,ZERO_RESULT,6,0.2,Coverage/composition diagnostic; not historical prevalence.
1938,BOUNDED_SEARCH_STATUS,COMPLETED_NONZERO,20,0.6666666666666666,Coverage/composition diagnostic; not historical prevalence.
1938,BOUNDED_SEARCH_STATUS,ZERO_RESULT,10,0.3333333333333333,Coverage/composition diagnostic; not historical prevalence.
1938,PROVENANCE_COMPLETENESS,RECONSTRUCTED_FROM_REPORT,30,1.0,Coverage/composition diagnostic; not historical prevalence.
1988,VOICE_COVERAGE,V1,14,0.4666666666666667,Coverage/composition diagnostic; not historical prevalence.
1988,VOICE_COVERAGE,V2,13,0.43333333333333335,Coverage/composition diagnostic; not historical prevalence.
1988,VOICE_COVERAGE,V3,3,0.1,Coverage/composition diagnostic; not historical prevalence.
1988,EXPRESSION_MODE_COMPLETENESS,E1,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1988,EXPRESSION_MODE_COMPLETENESS,E5,29,0.9666666666666667,Coverage/composition diagnostic; not historical prevalence.
1988,DICTIONARY_STATUS,DIRECT_HEADWORD,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1988,DICTIONARY_STATUS,NO_STANDALONE_HEADWORD,21,0.7,Coverage/composition diagnostic; not historical prevalence.
1988,DICTIONARY_STATUS,TECHNICAL_GLOSSARY,8,0.26666666666666666,Coverage/composition diagnostic; not historical prevalence.
1988,NGRAM_STATUS,NOT_APPLICABLE,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
1988,NGRAM_STATUS,SUCCEEDED_NEW,8,0.26666666666666666,Coverage/composition diagnostic; not historical prevalence.
1988,NGRAM_STATUS,SUCCEEDED_REUSED_BASELINE,19,0.6333333333333333,Coverage/composition diagnostic; not historical prevalence.
1988,NGRAM_STATUS,ZERO_RESULT,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
1988,BOUNDED_SEARCH_STATUS,COMPLETED_NONZERO,21,0.7,Coverage/composition diagnostic; not historical prevalence.
1988,BOUNDED_SEARCH_STATUS,ZERO_RESULT,9,0.3,Coverage/composition diagnostic; not historical prevalence.
1988,PROVENANCE_COMPLETENESS,RECONSTRUCTED_FROM_REPORT,30,1.0,Coverage/composition diagnostic; not historical prevalence.
2006–2007,VOICE_COVERAGE,V1,9,0.3,Coverage/composition diagnostic; not historical prevalence.
2006–2007,VOICE_COVERAGE,V2,10,0.3333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,VOICE_COVERAGE,V3,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
2006–2007,VOICE_COVERAGE,V4,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
2006–2007,VOICE_COVERAGE,V5,7,0.23333333333333334,Coverage/composition diagnostic; not historical prevalence.
2006–2007,EXPRESSION_MODE_COMPLETENESS,E1,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,EXPRESSION_MODE_COMPLETENESS,E3,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,EXPRESSION_MODE_COMPLETENESS,E5,28,0.9333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,DICTIONARY_STATUS,DIRECT_HEADWORD,4,0.13333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,DICTIONARY_STATUS,NO_STANDALONE_HEADWORD,15,0.5,Coverage/composition diagnostic; not historical prevalence.
2006–2007,DICTIONARY_STATUS,TECHNICAL_GLOSSARY,11,0.36666666666666664,Coverage/composition diagnostic; not historical prevalence.
2006–2007,NGRAM_STATUS,SUCCEEDED_NEW,8,0.26666666666666666,Coverage/composition diagnostic; not historical prevalence.
2006–2007,NGRAM_STATUS,SUCCEEDED_REUSED_BASELINE,20,0.6666666666666666,Coverage/composition diagnostic; not historical prevalence.
2006–2007,NGRAM_STATUS,ZERO_RESULT,2,0.06666666666666667,Coverage/composition diagnostic; not historical prevalence.
2006–2007,BOUNDED_SEARCH_STATUS,COMPLETED_NONZERO,22,0.7333333333333333,Coverage/composition diagnostic; not historical prevalence.
2006–2007,BOUNDED_SEARCH_STATUS,ZERO_RESULT,8,0.26666666666666666,Coverage/composition diagnostic; not historical prevalence.
2006–2007,PROVENANCE_COMPLETENESS,RECONSTRUCTED_FROM_REPORT,30,1.0,Coverage/composition diagnostic; not historical prevalence.
2015,VOICE_COVERAGE,V2,24,0.8,Coverage/composition diagnostic; not historical prevalence.
2015,VOICE_COVERAGE,V4,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
2015,VOICE_COVERAGE,V5,5,0.16666666666666666,Coverage/composition diagnostic; not historical prevalence.
2015,EXPRESSION_MODE_COMPLETENESS,E1,1,0.03333333333333333,Coverage/composition diagnostic; not historical prevalence.
2015,EXPRESSION_MODE_COMPLETENESS,E5,29,0.9666666666666667,Coverage/composition diagnostic; not historical prevalence.
2015,DICTIONARY_STATUS,NO_STANDALONE_HEADWORD,13,0.43333333333333335,Coverage/composition diagnostic; not historical prevalence.
2015,DICTIONARY_STATUS,TECHNICAL_GLOSSARY,17,0.5666666666666667,Coverage/composition diagnostic; not historical prevalence.
2015,NGRAM_STATUS,SUCCEEDED_NEW,6,0.2,Coverage/composition diagnostic; not historical prevalence.
