anchor,A_count,A_percentage,B_count,B_percentage,C_count,C_percentage,D_count,D_percentage,total
1842,16,0.5333333333333333,5,0.16666666666666666,3,0.1,6,0.2,30
1938,13,0.43333333333333335,9,0.3,2,0.06666666666666667,6,0.2,30
1988,8,0.26666666666666666,7,0.23333333333333334,1,0.03333333333333333,14,0.4666666666666667,30
2006–2007,5,0.16666666666666666,4,0.13333333333333333,3,0.1,18,0.6,30
2015,3,0.1,3,0.1,4,0.13333333333333333,20,0.6666666666666666,30
2022,2,0.06666666666666667,1,0.03333333333333333,20,0.6666666666666666,7,0.23333333333333334,30
