anchor,layer,voice,candidate_count,evidence_class
1842,A,V1,12,CONSTRUCTED_INVENTORY_PATTERN
1842,A,V2,1,CONSTRUCTED_INVENTORY_PATTERN
1842,A,V5,3,CONSTRUCTED_INVENTORY_PATTERN
1842,B,V1,5,CONSTRUCTED_INVENTORY_PATTERN
1842,C,V3,1,CONSTRUCTED_INVENTORY_PATTERN
1842,C,V5,2,CONSTRUCTED_INVENTORY_PATTERN
1842,D,V1,1,CONSTRUCTED_INVENTORY_PATTERN
1842,D,V2,1,CONSTRUCTED_INVENTORY_PATTERN
1842,D,V5,4,CONSTRUCTED_INVENTORY_PATTERN
1938,A,V1,7,CONSTRUCTED_INVENTORY_PATTERN
1938,A,V3,6,CONSTRUCTED_INVENTORY_PATTERN
1938,B,V1,9,CONSTRUCTED_INVENTORY_PATTERN
1938,C,V1,1,CONSTRUCTED_INVENTORY_PATTERN
1938,C,V3,1,CONSTRUCTED_INVENTORY_PATTERN
1938,D,V1,1,CONSTRUCTED_INVENTORY_PATTERN
1938,D,V3,5,CONSTRUCTED_INVENTORY_PATTERN
1988,A,V1,6,CONSTRUCTED_INVENTORY_PATTERN
1988,A,V2,1,CONSTRUCTED_INVENTORY_PATTERN
1988,A,V3,1,CONSTRUCTED_INVENTORY_PATTERN
1988,B,V1,5,CONSTRUCTED_INVENTORY_PATTERN
1988,B,V2,2,CONSTRUCTED_INVENTORY_PATTERN
1988,C,V3,1,CONSTRUCTED_INVENTORY_PATTERN
1988,D,V1,3,CONSTRUCTED_INVENTORY_PATTERN
1988,D,V2,10,CONSTRUCTED_INVENTORY_PATTERN
1988,D,V3,1,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,A,V1,4,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,A,V3,1,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,B,V1,3,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,B,V2,1,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,C,V3,1,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,C,V5,2,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,D,V1,2,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,D,V2,9,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,D,V4,2,CONSTRUCTED_INVENTORY_PATTERN
2006–2007,D,V5,5,CONSTRUCTED_INVENTORY_PATTERN
2015,A,V2,3,CONSTRUCTED_INVENTORY_PATTERN
2015,B,V2,3,CONSTRUCTED_INVENTORY_PATTERN
2015,C,V2,1,CONSTRUCTED_INVENTORY_PATTERN
2015,C,V4,1,CONSTRUCTED_INVENTORY_PATTERN
2015,C,V5,2,CONSTRUCTED_INVENTORY_PATTERN
2015,D,V2,17,CONSTRUCTED_INVENTORY_PATTERN
2015,D,V5,3,CONSTRUCTED_INVENTORY_PATTERN
2022,A,V1,1,CONSTRUCTED_INVENTORY_PATTERN
2022,A,V5,1,CONSTRUCTED_INVENTORY_PATTERN
2022,B,V5,1,CONSTRUCTED_INVENTORY_PATTERN
2022,C,V1,7,CONSTRUCTED_INVENTORY_PATTERN
2022,C,V5,13,CONSTRUCTED_INVENTORY_PATTERN
2022,D,V1,4,CONSTRUCTED_INVENTORY_PATTERN
2022,D,V4,1,CONSTRUCTED_INVENTORY_PATTERN
2022,D,V5,2,CONSTRUCTED_INVENTORY_PATTERN
