anchor,AB_Object_Passage_Count,Threat_Link_Rate,Affect_Link_Rate,Data_Status
1842,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
1938,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
1988,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
2006–2007,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
2015,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
2022,0,,,UNSUPPORTED_NO_VALIDATED_AB_PASSAGES
