anchor_label,search_display,candidate_count
1842,SUCCEEDED,21
1842,ZERO_RESULT,9
1938,SUCCEEDED,20
1938,ZERO_RESULT,10
1988,SUCCEEDED,21
1988,ZERO_RESULT,9
2006–2007,SUCCEEDED,22
2006–2007,ZERO_RESULT,8
2015,SUCCEEDED,28
2015,ZERO_RESULT,2
2022,SUCCEEDED,29
2022,ZERO_RESULT,1
