anchor_id,anchor_label,accepted_passage_target,v1_target,v2_target,v3_target,v4_target,v5_target
FT-A1842,1842,30,12,3,3,0,12
FT-A1938,1938,28,16,2,10,0,0
FT-A1988,1988,30,12,12,6,0,0
FT-A0607,2006–2007,36,7,7,6,4,12
FT-A2015,2015,38,4,14,5,6,9
FT-A2022,2022,38,10,6,4,4,14
